id;name;occupation;contained_in_original_file;area
1.0;Автономная некоммерческая организация Краснодарский центр современного искусства «Типография»;;no;
2.0;Красноярская региональная общественная организация поддержки и развития альтернативных образовательных технологий и межкультурных коммуникаций «Интерра»;;no;
3.0;Автономная некоммерческая организация для издания научно-популярной газеты «Троицкий вариант — Наука»;;no;
4.0;Благотворительный фонд развития филантропии «КАФ»;;no;
5.0;Автономная некоммерческая экологическая организация «Друзья Балтики»;;no;
6.0;Региональная национально-культурная общественная организация «Туба калык» (Тубалары);;no;
7.0;Автономная некоммерческая организация по реализации социально-правовых программ «Лилит»;;no;
8.0;"Ассоциация по содействию защите прав призывников альтернативнослужащих и военнослужащих «Правозащитная группа „Гражданин.Армия.Право""»";;no;
9.0;Автономная некоммерческая организация «Нижегородский центр немецкой и европейской культуры»;;no;
10.0;Ивановская областная общественная организация «Центр гендерных исследований»;;no;
11.0;"Некоммерческая организация «Фонд защиты прав граждан „Штаб""»";;no;
12.0;Автономная некоммерческая организация «Институт права и публичной политики»;;no;
13.0;Некоммерческая организация «Фонд борьбы с коррупцией»;;no;
14.0;Межрегиональный профессиональный союз работников здравоохранения «Альянс врачей»;;no;
15.0;"Автономная некоммерческая организация «Центр по работе с проблемой насилия „Насилию.нет""»";;no;
16.0;Красноярская региональная общественная организация «Мы против СПИДа»;;no;
17.0;Программно-целевой благотворительный фонд «Свеча»;;no;
18.0;Санкт-Петербургский благотворительный фонд «Гуманитарное действие»;;no;
19.0;Межрегиональная общественная организация реализации социально-просветительских инициатив и образовательных проектов «Открытый Петербург»;;no;
20.0;Фонд содействия правовому просвещению населения «Лига избирателей»;;no;
21.0;Некоммерческая Организация Фонд «Правовая инициатива»;;no;
22.0;Некоммерческая организация «Фонд борьбы с коррупцией»;;no;
23.0;Пензенский региональный общественный благотворительный фонд «Гражданский Союз»;;no;
24.0;"Общественная организация «Саратовский областной еврейский благотворительный Центр „Хасдей Ерушалаим""» (Милосердие)";;no;
25.0;Частное учреждение «Центр поддержки и содействия развитию средств массовой информации»;;no;
26.0;Региональная общественная организация содействия соблюдению прав человека «Горячая Линия»;;no;
27.0;Фонд «В защиту прав заключённых»;;no;
28.0;Автономная некоммерческая организация «Институт глобализации и социальных движений»;;no;
29.0;"Автономная некоммерческая организация противодействия эпидемии вич/спида и охраны здоровья социально-уязвимых групп населения «Центр социально-информационных инициатив „Действие""»";;no;
30.0;Благотворительный фонд охраны здоровья и защиты прав граждан;;no;
31.0;Благотворительный фонд помощи осуждённым и их семьям;;no;
32.0;Городской благотворительный фонд «Фонд Тольятти»;;no;
33.0;Свердловский региональный общественный фонд социальных проектов «Новое время»;;no;
34.0;Фонд содействия устойчивому развитию «Серебряная тайга»;;no;
35.0;Фонд содействия развитию массовых коммуникаций и правовому просвещению «Так-Так-Так»;;no;
36.0;"Региональная общественная организация содействия просвещению граждан «Информационно-аналитический центр „Сова""»";;no;
37.0;Региональная общественная организация помощи женщинам и детям находящимся в кризисной ситуации «Информационно-методический центр Анна»;;no;
38.0;Автономная некоммерческая организация социальной поддержки населения «Проект Апрель»;;no;
39.0;Региональный благотворительный фонд «Самарская губерния»;;no;
40.0;Свердловский областной общественный фонд «Эра здоровья»;;no;
41.0;"Международная общественная организация «Международное историко-просветительское благотворительное и правозащитное общество „Мемориал""»";;no;
42.0;Автономная некоммерческая организация «Аналитический Центр Юрия Левады»;;no;
43.0;"Автономная некоммерческая организация «Издательство „Парк Гагарина""»";;no;
44.0;Фонд содействия защите здоровья и социальной справедливости имени Андрея Рылькова;;no;
45.0;Благотворительный фонд социально-правовой помощи «Сфера»;;no;
46.0;"Омская региональная общественная организация «Центр охраны здоровья и социальной защиты „Сибальт""»";;no;
47.0;Челябинский региональный орган общественной самодеятельности «Уральская правозащитная группа»;;no;
48.0;Челябинский региональный орган общественной самодеятельности — женское общественное объединение «Женщины Евразии»;;no;
49.0;"Городская общественная организация «Рязанское историко-просветительское и правозащитное общество „Мемориал"" (Рязанский Мемориал)»";;no;
50.0;"Городская общественная организация «Екатеринбургское общество „Мемориал""»";;no;
51.0;Автономная некоммерческая организация «Институт прав человека»;;no;
52.0;Некоммерческая организация «Фонд защиты гласности»;;no;
53.0;Региональное общественное учреждение научно-информационный центр «Мемориал»;;no;
54.0;Союз общественных объединений «Российский исследовательский центр по правам человека»;;no;
55.0;Автономная некоммерческая организация «Дальневосточный центр развития гражданских инициатив и социального партнёрства»;;no;
56.0;Фонд «Гражданское действие»;;no;
57.0;Автономная некоммерческая организация «Центр независимых социологических исследований»;;no;
58.0;Свердловская региональная общественная организация «Сутяжник»;;no;
59.0;Негосударственное образовательное учреждение дополнительного профессионального образования (повышение квалификации) специалистов «Академия по правам человека»;;no;
60.0;Частное учреждение в Калининграде по административной поддержке реализации программ и проектов Совета Министров северных стран;;no;
61.0;Межрегиональная благотворительная общественная организация «Центр развития некоммерческих организаций»;;no;
62.0;Региональная общественная благотворительная организация помощи беженцам и мигрантам «Гражданское содействие»;;no;
63.0;"Автономная некоммерческая организация «Центр антикоррупционных исследований и инициатив „Трансперенси Интернешнл-Р""»";;no;
64.0;Региональный фонд «Центр защиты прав средств массовой информации»;;no;
65.0;Некоммерческое партнёрство «Институт развития прессы — Сибирь»;;no;
66.0;«Частное учреждение в Санкт-Петербурге по административной поддержке реализации программ и проектов Совета Министров Северных Стран»;;no;
67.0;Межрегиональная общественная организация Информационно-просветительский центр «Мемориал»;;no;
68.0;Фонд поддержки свободы прессы;;no;
69.0;Санкт-Петербургская общественная правозащитная организация «Гражданский контроль»;;no;
70.0;Межрегиональная общественная правозащитная организация «Человек и Закон»;;no;
71.0;Региональная общественная организация «Общественная комиссия по сохранению наследия академика Сахарова»;;no;
72.0;Частное учреждение «Информационное агентство Мемо.ру»;;no;
73.0;Некоммерческое партнерство «Институт региональной прессы»;;no;
74.0;Фонд «Институт развития свободы информации»;;no;
75.0;Межрегиональная общественная организация Правозащитный Центр «Мемориал»;;no;
76.0;Калининградская региональная общественная организация «Экозащита!-Женсовет»;;no;
77.0;Фонд содействия защите прав и свобод граждан «Общественный вердикт»;;no;
78.0;Евразийская антимонопольная ассоциация;;no;
79.0;Томская региональная общественная организация по защите прав и интересов женщин «Женский голос»;;no;
80.0;Голос Америки;;no;
81.0;Idel.Реалии;;no;
82.0;Кавказ.Реалии;;no;
83.0;Крым.Реалии;;no;
84.0;Телеканал Настоящее Время;;no;
85.0;Татаро-башкирская служба Радио Свобода (Azatliq Radiosi);;no;
86.0;«Радио Свободная Европа/Радио Свобода» (PCE/PC);;no;
87.0;Сибирь.Реалии;;no;
88.0;Фактограф;;no;
89.0;Север.Реалии;;no;
90.0;Общество с ограниченной ответственностью «Радио Свободная Европа/Радио Свобода»;;no;
91.0;Чешское информационное агентство «MEDIUM-ORIENT»;;no;
92.0;Meduza;;no;
93.0;ООО «Первое антикоррупционное СМИ»;;no;
94.0;Интернет-ресурс VTimes;;no;
95.0;The Insider;;no;
96.0;Общество с ограниченной ответственностью Телеканал Дождь;;no;
97.0;Юридическое лицо Istories fonds;;no;
98.0;Общество с ограниченной ответственностью «Альтаир 2021»;;no;
99.0;Общество с ограниченной ответственностью «Ромашки монолит»;;no;
100.0;Общество с ограниченной ответственностью «Главный редактор 2021»;;no;
